Día,Temp Maxima,Temp Minima,Informacion
1,24,3,Datos climáticos: Enero 2023
2,22,14,Datos climáticos: Enero 2023
3,19,10,Datos climáticos: Enero 2023
4,Sin registro,Sin registro,Datos climáticos: Enero 2023
5,Sin registro,Sin registro,Datos climáticos: Enero 2023
6,Sin registro,Sin registro,Datos climáticos: Enero 2023
7,24,3,Datos climáticos: Enero 2023
8,19,0,Datos climáticos: Enero 2023
9,22,2,Datos climáticos: Enero 2023
10,Sin registro,Sin registro,Datos climáticos: Enero 2023
11,Sin registro,Sin registro,Datos climáticos: Enero 2023
12,Sin registro,Sin registro,Datos climáticos: Enero 2023
13,21,-2,Datos climáticos: Enero 2023
14,25,3,Datos climáticos: Enero 2023
15,22,14,Datos climáticos: Enero 2023
16,Sin registro,Sin registro,Datos climáticos: Enero 2023
17,Sin registro,Sin registro,Datos climáticos: Enero 2023
18,Sin registro,Sin registro,Datos climáticos: Enero 2023
19,16,-5,Datos climáticos: Enero 2023
20,23,-,Datos climáticos: Enero 2023
21,19,2,Datos climáticos: Enero 2023
22,Sin registro,Sin registro,Datos climáticos: Enero 2023
23,Sin registro,Sin registro,Datos climáticos: Enero 2023
24,Sin registro,Sin registro,Datos climáticos: Enero 2023
25,13,-7,Datos climáticos: Enero 2023
26,11,-3,Datos climáticos: Enero 2023
27,14,-4,Datos climáticos: Enero 2023
28,Sin registro,Sin registro,Datos climáticos: Enero 2023
29,Sin registro,Sin registro,Datos climáticos: Enero 2023
30,Sin registro,Sin registro,Datos climáticos: Enero 2023
31,20,13,Datos climáticos: Enero 2023
